Experimental Time Runs

Algorithm 1: Enumeration
N Values	Time (Seconds)
25	0.000501
35	0.002007
50	0.005517
75	0.01454
100	0.034091
125	0.061663
250	0.496319
500	3.6999
750	12.544902
1000	30.661715

Algorithm 2: Better Enumeration
N Values	Time (Seconds)
250	0.010025
350	0.016042
500	0.028577
750	0.06668
1000	0.12231
1250	0.193991
2500	0.764028
5000	3.136839
7500	6.905722
10000	12.339972

Algorithm 3: Divide and Conquer
N Values	Time (Seconds)
25000	0.144865
35000	0.213569
50000	0.306814
75000	0.487336
100000	0.670283
125000	0.83121
250000	1.79427
500000	3.434632
750000	5.386322
1000000	7.510968

Algorithm 4: Linear Time
N Values	Time (Seconds)
250000	0.071189
350000	0.100307
500000	0.143382
750000	0.218079
1000000	0.283756
1250000	0.353439
2500000	0.667273
5000000	1.326527
7500000	2.164281
10000000	2.755826
