Experimental Time Runs

Algorithm 1: Change Slow (V1)
A Values	Time (Seconds)	Optimal Solution	Denominations
25	0.006033	2	7
26	0.004512	2	7
27	0.006017	3	7
28	0.006016	3	7
29	0.006518	4	7
30	0.007018	2	7
31	0.00856	3	7
32	0.009525	3	7
33	0.011029	4	7
34	0.011018	4	7
35	0.012534	5	7
36	0.014538	2	7
37	0.015038	3	7
38	0.016568	3	7
39	0.017046	4	7
40	0.019546	4	7
41	0.020578	5	7
42	0.022082	3	7
43	0.024541	4	7
44	0.029079	4	7
45	0.030604	5	7
46	0.031559	5	7
47	0.033589	6	7
48	0.036097	1	7
49	0.039102	2	7
50	0.042112	2	7
51	0.046122	3	7
52	0.050633	3	7
53	0.053141	4	7
54	0.054645	2	7
55	0.060685	3	7
56	0.064169	3	7
57	0.067178	4	7
58	0.072192	4	7
59	0.081216	5	7
60	0.084224	1	7
61	0.09024	2	7
62	0.094252	2	7
63	0.108286	3	7
64	0.104779	3	7
65	0.11483	4	7
66	0.121822	2	7
67	0.128842	3	7
68	0.136865	3	7
69	0.146916	4	7
70	0.151879	4	7
71	0.165953	5	7
72	0.174464	2	7
73	0.183991	3	7
74	0.192534	3	7
75	0.201511	4	7
76	0.213067	4	7
77	0.230614	5	7
78	0.243147	3	7
79	0.250666	4	7
80	0.264203	4	7
81	0.281249	5	7
82	0.297291	5	7
83	0.312831	6	7
84	0.32687	2	7
85	0.346421	3	7
86	0.35695	3	7
87	0.383521	4	7
88	0.398059	4	7
89	0.42463	5	7
90	0.44217	3	7
91	0.462753	4	7
92	0.479776	4	7
93	0.504842	5	7
94	0.530913	5	7
95	0.560496	6	7
96	0.581044	2	7
97	0.614634	3	7
98	0.638197	3	7
99	0.668762	4	7
100	0.696392	4	7
101	0.729941	5	7
102	0.760026	3	7
103	0.799667	4	7
104	0.83625	4	7
105	0.870792	5	7
106	0.905409	5	7
107	0.943008	6	7
108	0.980608	2	7
109	1.039806	3	7
110	1.089923	3	7
111	1.125015	4	7
112	1.165074	4	7
113	1.223779	5	7
114	1.277398	3	7
115	1.325527	4	7
116	1.377164	4	7
117	1.471413	5	7
118	1.491476	5	7
119	1.549121	6	7
120	1.6128	2	7
121	1.674984	3	7
122	1.743138	3	7
123	1.813324	4	7
124	1.876487	4	7
125	1.946679	5	7

Algorithm 2: Change Greedy (V1)
A Values	Time (Seconds)	Optimal Solution	Denominations
10000000	0.043616	166670	7
10000001	0.042606	166671	7
10000002	0.046622	166669	7
10000003	0.043617	166670	7
10000004	0.04211	166670	7
10000005	0.04416	166671	7
10000006	0.042569	166671	7
10000007	0.043657	166672	7
10000008	0.042608	166667	7
10000009	0.043617	166668	7
10000010	0.043616	166668	7
10000011	0.051625	166669	7
10000012	0.056689	166669	7
10000013	0.04458	166670	7
10000014	0.042613	166668	7
10000015	0.042614	166669	7
10000016	0.043615	166669	7
10000017	0.043112	166670	7
10000018	0.044618	166670	7
10000019	0.044117	166671	7
10000020	0.043617	166667	7
10000021	0.051639	166668	7
10000022	0.045128	166668	7
10000023	0.04259	166669	7
10000024	0.043602	166669	7
10000025	0.043615	166670	7
10000026	0.042612	166668	7
10000027	0.044156	166669	7
10000028	0.04562	166669	7
10000029	0.046115	166670	7
10000030	0.044159	166670	7
10000031	0.04516	166671	7
10000032	0.045622	166668	7
10000033	0.046121	166669	7
10000034	0.043617	166669	7
10000035	0.044115	166670	7
10000036	0.045628	166670	7
10000037	0.043615	166671	7
10000038	0.043617	166669	7
10000039	0.043614	166670	7
10000040	0.043141	166670	7
10000041	0.044157	166671	7
10000042	0.042612	166671	7
10000043	0.047125	166672	7
10000044	0.044104	166668	7
10000045	0.043658	166669	7
10000046	0.043618	166669	7
10000047	0.04512	166670	7
10000048	0.044138	166670	7
10000049	0.044143	166671	7
10000050	0.043658	166669	7
10000051	0.044615	166670	7
10000052	0.044118	166670	7
10000053	0.044077	166671	7
10000054	0.046624	166671	7
