Experimental Time Runs

Algorithm 1: Change Slow
A Values	Time (Seconds)	Optimal Solution	Denominations
25	0.036074	2	16
26	0.04364	1	16
27	0.051628	2	16
28	0.058655	1	16
29	0.071189	2	16
30	0.078709	1	16
31	0.091734	2	16
32	0.110294	2	16
33	0.130345	3	16
34	0.147893	2	16
35	0.173964	3	16
36	0.197525	2	16
37	0.226594	3	16
38	0.260694	2	16
39	0.300801	3	16
40	0.343913	2	16
41	0.393039	3	16
42	0.45374	2	16
43	0.524361	3	16
44	0.589068	2	16
45	0.678806	3	16
46	0.755534	2	16
47	0.863274	3	16
48	0.979104	2	16
49	1.101428	3	16
50	1.253334	2	16
51	1.407245	3	16
52	1.577196	2	16
53	1.785774	3	16
54	1.978301	2	16
55	2.235972	3	16
56	2.488143	2	16
57	2.810978	3	16
58	3.102801	2	16
59	3.494297	3	16
60	3.875685	2	16
61	4.520569	3	16
62	5.301646	3	16
63	5.438514	4	16
64	6.013498	3	16
65	6.623623	4	16
66	7.33452	3	16
67	8.217447	4	16
68	8.953833	3	16
69	10.090468	4	16
70	11.319622	3	16
71	12.31852	4	16
72	13.453934	3	16
73	14.653153	4	16
74	16.152695	3	16

Algorithm 2: Change Greedy
A Values	Time (Seconds)	Optimal Solution	Denominations
10000000	0.089279	333334	16
10000001	0.085226	333335	16
10000002	0.086224	333334	16
10000003	0.084225	333335	16
10000004	0.086228	333334	16
10000005	0.087733	333335	16
10000006	0.085227	333334	16
10000007	0.085727	333335	16
10000008	0.088272	333334	16
10000009	0.084701	333335	16
10000010	0.085241	333334	16
10000011	0.088736	333335	16
10000012	0.086269	333334	16
10000013	0.086732	333335	16
10000014	0.089236	333334	16
10000015	0.08576	333335	16
10000016	0.087695	333334	16
10000017	0.086729	333335	16
10000018	0.085226	333334	16
10000019	0.085226	333335	16
10000020	0.088235	333334	16
10000021	0.085728	333335	16
10000022	0.087733	333335	16
10000023	0.088235	333336	16
10000024	0.086227	333335	16
10000025	0.088235	333336	16
10000026	0.084222	333335	16
10000027	0.085729	333336	16
10000028	0.089237	333335	16
10000029	0.085226	333336	16
10000030	0.087733	333335	16
10000031	0.08623	333336	16
10000032	0.085727	333335	16
10000033	0.08673	333336	16
10000034	0.08673	333335	16
10000035	0.088737	333336	16
10000036	0.085727	333335	16
10000037	0.086268	333336	16
10000038	0.085227	333335	16
10000039	0.093247	333336	16
10000040	0.08673	333335	16
10000041	0.086731	333336	16
10000042	0.086228	333335	16
10000043	0.08673	333336	16
10000044	0.086729	333335	16
10000045	0.087731	333336	16
10000046	0.085728	333335	16
10000047	0.085728	333336	16
10000048	0.085729	333335	16
10000049	0.087272	333336	16
10000050	0.08772	333335	16
10000051	0.091242	333336	16
10000052	0.085729	333336	16
10000053	0.086219	333337	16
10000054	0.086723	333336	16
10000055	0.088276	333337	16
10000056	0.088759	333336	16
10000057	0.088277	333337	16
10000058	0.085227	333336	16
10000059	0.086229	333337	16
10000060	0.087775	333336	16
10000061	0.085227	333337	16
10000062	0.088736	333336	16
10000063	0.089238	333337	16
10000064	0.086731	333336	16
10000065	0.08727	333337	16
10000066	0.087275	333336	16
10000067	0.087732	333337	16
10000068	0.088736	333336	16
10000069	0.087772	333337	16
10000070	0.086227	333336	16
10000071	0.087272	333337	16
10000072	0.087221	333336	16
10000073	0.090781	333337	16
10000074	0.086732	333336	16
10000075	0.088235	333337	16
10000076	0.088232	333336	16
10000077	0.088235	333337	16
10000078	0.087734	333336	16
10000079	0.089697	333337	16
10000080	0.088274	333336	16
10000081	0.088234	333337	16
10000082	0.088278	333337	16
10000083	0.087777	333338	16
10000084	0.088698	333337	16
10000085	0.088268	333338	16
