Question 7: Denominations versus Time

Algorithm 1: Change Slow
A Values	Time (Seconds)	Optimal Solution	Denominations
75	0.041609	25	3
75	0.192537	15	4
75	0.602068	11	5
75	1.323059	8	6
75	2.410909	7	7
75	3.820225	5	8
75	5.440984	5	9
75	7.269895	5	10
75	9.204104	3	11
75	11.170273	3	12

Algorithm 2: Change Greedy
A Values	Time (Seconds)	Optimal Solution	Denominations
11250000	0.985159	3750000	3
11250000	0.59061	2250000	4
11250000	0.449156	1607144	5
11250000	0.280794	1022728	6
11250000	0.242183	865386	7
11250000	0.180944	661766	8
11250000	0.164981	592106	9
11250000	0.133857	489132	10
11250000	0.107831	387932	11
11250000	0.102303	362904	12

Algorithm 3: Change DP
A Values	Time (Seconds)	Optimal Solution	Denominations
1125000	1.809857	375000	3
1125000	2.32667	225000	4
1125000	2.842563	160715	5
1125000	3.376485	102274	6
1125000	3.969719	86540	7
1125000	4.533104	66178	8
1125000	5.04393	59212	9
1125000	5.575331	48914	10
1125000	6.088298	38794	11
1125000	6.790606	36292	12
